"mz","rt","TRb_DMSO_1.mzXML","TRb_DMSO_2.mzXML","TRb_DMSO_3.mzXML","TRb_Dust_1.mzXML","TRb_Dust_2.mzXML","TRb_Dust_3.mzXML","TRb_Sludge_1.mzXML","TRb_Sludge_2.mzXML","TRb_Sludge_3.mzXML","WT_DMSO_1.mzXML","WT_DMSO_2.mzXML","WT_DMSO_3.mzXML","WT_Dust_1.mzXML","WT_Dust_2.mzXML","WT_Dust_3.mzXML","WT_Sludge_1.mzXML","WT_Sludge_2.mzXML","WT_Sludge_3.mzXML","SampleID","ID","TRb Sludge fc1","TRb Sludge pvalue1","TRb Sludge fc2","TRb Sludge pvalue2","avg","change"
297.24375406901,5.13975,598507.75,743407.375,955117.5625,1190315.625,1152268.375,805496.125,5522082.5,3576572.25,5034738.5,663350.875,594217.5,707645.9375,687492.3125,622061.9375,626033.0625,568719.875,584764.4375,720421.375,7,3088,7.54221161944149,0.0192787653160389,6.15289165317984,0.0186972392978574,4711131.08333333,"up"
299.259684244792,5.29201666666667,279148.40625,312636.125,299165.21875,840478.8125,555610.1875,540796.75,41591904,23176722,42172968,982559.0625,69646.4375,614296.3125,639114.625,584295.875,553704,933706.125,1250964.5,1685681.375,9,3161,27.63097361687,0.0312827560837798,120.031005115608,0.0297513879619368,35647198,"up"
300.263061523438,5.28815,128014.1328125,149815.203125,22356.630859375,175142.390625,159750.90625,115683.5078125,8117318.5,4480203.5,7702608.5,126683.328125,100455.8515625,128248.5078125,106529.8359375,63425.28125,124548.2421875,235533.34375,212351.265625,347541.96875,7,3179,25.5210613503159,0.0297268409091857,67.6251815386705,0.0283460833238187,6766710.16666667,"up"
300.693583170573,6.29991666666667,100,100,100,100,100,100,87843.4375,73809.7578125,144159.78125,100,100,100,100,100,100,100,100,100,9,3181,1019.37658854167,0.0417835455219328,1019.37658854167,0.0417835455219328,101937.658854167,"up"
301.266184488932,5.29201666666667,100,100,100,100,100,100,814906.125,493315.09375,842804.5,100,100,100,100,100,100,100,100,32363.27734375,9,3237,66.0567944695178,0.0234438293896363,7170.08572916667,0.0236033402043143,717008.572916667,"up"
304.20361328125,5.85778333333333,100,69011.1796875,100,65226.21484375,100,100,323315.5625,267845.625,458424.96875,80044.4609375,100,100,100,100,100,42936.453125,100,100,9,3303,24.3317676863355,0.0218727445133368,15.1649800074071,0.0175406763666596,349862.052083333,"up"
306.252634684245,5.93536666666667,100,100,15575.7275390625,100,32368.64453125,100,218482.953125,190151.125,365200.875,100,100,100,100,100,100,100,100,100,9,3340,2579.44984375,0.0415262825926006,49.0522513911892,0.0420307998896365,257944.984375,"up"
307.079661051432,0.523108333333333,27269.302734375,22081.544921875,33849.08984375,65625.4375,48663.61328125,27210.345703125,164107.234375,142444.453125,190233.625,100,7158.23095703125,100,4623.25830078125,100,18779.888671875,100,100,35725.83203125,9,3365,13.8280809214905,0.00119388811445185,5.97098179911493,0.0071211697046071,165595.104166667,"up"
307.079661051432,0.523108333333333,27269.302734375,22081.544921875,33849.08984375,65625.4375,48663.61328125,27210.345703125,164107.234375,142444.453125,190233.625,100,7158.23095703125,100,4623.25830078125,100,18779.888671875,100,100,35725.83203125,9,3366,13.8280809214905,0.00119388811445185,5.97098179911493,0.0071211697046071,165595.104166667,"up"
307.079661051432,0.523108333333333,27269.302734375,22081.544921875,33849.08984375,65625.4375,48663.61328125,27210.345703125,164107.234375,142444.453125,190233.625,100,7158.23095703125,100,4623.25830078125,100,18779.888671875,100,100,35725.83203125,9,3367,13.8280809214905,0.00119388811445185,5.97098179911493,0.0071211697046071,165595.104166667,"up"
308.189086914062,5.45005,100,100,100,100,100,100,100936.4453125,107353.65625,180121.15625,100,100,100,100,100,100,100,100,100,9,3410,1294.70419270833,0.0364339742143006,1294.70419270833,0.0364339742143006,129470.419270833,"up"
309.280771891276,6.43045,1233244.5,1219229.375,520688.90625,1739718.875,1412868,1332451.5,7272522,7518474.5,11887276,1923059.125,956277.6875,912666.1875,778025,834368,910330.9375,1052676.375,1265300.625,1214063.625,9,3473,7.55321790784895,0.0355238997166988,8.97302787060442,0.0315499000142257,8892757.5,"up"
309.280771891276,6.43045,1233244.5,1219229.375,520688.90625,1739718.875,1412868,1332451.5,7272522,7518474.5,11887276,1923059.125,956277.6875,912666.1875,778025,834368,910330.9375,1052676.375,1265300.625,1214063.625,9,3474,7.55321790784895,0.0355238997166988,8.97302787060442,0.0315499000142257,8892757.5,"up"
310.284098307292,6.43045,203081.078125,177671.40625,91688.671875,362466.46875,264853.15625,217332.5,1596299,1581717.375,2436007.25,254653.0625,129702.0703125,95507.28125,66485.5625,106651.6875,153384.421875,171178.703125,132850.90625,171674.515625,9,3487,11.8015029299988,0.0259131470778799,11.8830113565069,0.0247273449502861,1871341.20833333,"up"
311.287343343099,6.44715,33631.2265625,100,100,45824.2109375,32043.9140625,100,147545.953125,184446.515625,247636.78125,48591.40625,100,100,100,56930.3359375,100,100,28274.078125,100,9,3551,20.3563833552557,0.0169340056954999,17.1329658689492,0.0152869985962278,193209.75,"up"
319.226236979167,5.13256666666667,95544.125,69358.8203125,19384.80859375,111336.4375,112965.5859375,104827.4453125,416853.1875,346300.71875,452028.375,77429.53125,84186.8203125,75962.0546875,103809.078125,48590.921875,66566.6953125,70756.6875,71268.7109375,74446.1015625,9,3831,5.61359015505505,0.00853660815663014,6.59393939907793,0.00131757833176414,405060.760416667,"up"
329.186869303385,5.62295,100,39437.5859375,31551.2109375,90410.4453125,68490.9921875,123956.3203125,191558.578125,225257.4375,381711.4375,64962.75390625,51292.3671875,56581.0078125,100,100,100,46384.83203125,100,100,9,4183,17.1413616472703,0.0428718686835122,11.232817099565,0.048639132537231,266175.817708333,"up"
331.556569417318,5.4973,100,100,100,100,100,100,125628.6015625,173512.625,252497.796875,100,100,100,100,100,100,100,100,100,9,4276,1838.79674479167,0.0382025985513198,1838.79674479167,0.0382025985513198,183879.674479167,"up"
332.268269856771,6.12455,30924.982421875,35685.53125,52646.79296875,31650.216796875,42425.28515625,30610.0859375,207191.9375,214015.53125,339310.25,163484.03125,49026.28125,36851.0546875,31037.197265625,44351.4765625,49660.28515625,40454.62109375,44705.53125,34232.41015625,9,4302,6.36989191642486,0.0375071420886046,6.37711633922587,0.0354578957573812,253505.90625,"up"
332.555185953776,5.51253333333333,100,100,100,100,100,100,154225.34375,232116.609375,346238.71875,100,100,100,100,100,100,100,100,100,9,4303,2441.93557291667,0.0484202433759073,2441.93557291667,0.0484202433759073,244193.557291667,"up"
333.24164835612,5.77938333333333,100,100,10856.2919921875,100,100,100,187936.15625,179430.6875,320163.15625,100,100,100,100,100,100,100,100,100,9,4346,2291.76666666667,0.0373523304816368,62.1845009597989,0.0377567117221337,229176.666666667,"up"
333.553446451823,5.51253333333333,100,100,100,100,100,100,85827.3125,80662.265625,138609.859375,100,100,100,100,100,100,100,100,100,9,4348,1016.998125,0.0316421976588104,1016.998125,0.0316421976588104,101699.8125,"up"
334.027638753255,4.99786666666667,100,100,25916.93359375,100,100,100,58877.1796875,108047.4609375,60508.02734375,100,100,100,100,100,100,100,100,100,8,4360,758.108893229167,0.0424915832190553,8.70824544360662,0.0339402848508234,75810.8893229167,"up"
345.22211710612,5.73251666666667,100,100,16568.70703125,54253.453125,100,100,119184.3984375,152017.109375,190390.921875,100,100,100,100,100,100,100,100,100,9,4730,1538.64143229167,0.0174399708279284,27.5270137898695,0.0139295952493303,153864.143229167,"up"
348.887929280599,4.2087,100,100,100,100,100,100,118826.5078125,151013.15625,202636.21875,100,100,100,100,100,100,100,100,100,9,4809,1574.919609375,0.0232180488788146,1574.919609375,0.0232180488788146,157491.9609375,"up"
349.205963134766,5.77938333333333,100,100,20572.638671875,74976.4453125,74890.2734375,40737.01953125,688864.625,665188.875,1228625.5,100,42536.12890625,100,55443.88671875,100,41869.58203125,100,46969.234375,36947.1328125,9,4842,30.7401889233822,0.0447469638976122,124.33081038938,0.0432493932503221,860893,"up"
351.200592041016,5.764,100,100,100,65151.59765625,100,100,63831.921875,83065.5625,118791.6328125,100,100,100,100,38565.5,100,100,100,100,9,4903,885.630390625,0.0315699990715895,885.630390625,0.0315699990715895,88563.0390625,"up"
355.222198486328,6.09248333333333,100,37277.8046875,100,66276.203125,41346.53125,47884.5625,88610.9375,109385.9375,174458.6875,100,100,100,100,100,100,100,100,100,9,5061,1241.51854166667,0.0408096169393458,9.93803040507934,0.0324682232808784,124151.854166667,"up"
362.926045735677,4.88066666666667,169242.8125,168424.265625,100,199188.28125,203903.96875,189880.5,782474.75,1193348.375,799814.1875,185842.328125,163524.515625,200703.78125,164001.53125,182352.6875,183845.734375,188108.859375,159476.140625,162156.0625,8,5287,5.44519073838592,0.0296448368950519,8.21760761264246,0.0151716881609624,925212.4375,"up"
363.016337076823,0.45506,530766.8125,109350.8046875,38088.12109375,1285042.625,274303.78125,79015.515625,2007517.375,1819137.125,1129542.125,350659.90625,14677.5966796875,8201.4443359375,9251.00390625,100,100,296821.125,10058.6064453125,31111.314453125,7,5299,14.6636920863557,0.0196973118872405,7.30780697544715,0.0164880231405713,1652065.54166667,"up"
363.016337076823,0.45506,530766.8125,109350.8046875,38088.12109375,1285042.625,274303.78125,79015.515625,2007517.375,1819137.125,1129542.125,350659.90625,14677.5966796875,8201.4443359375,9251.00390625,100,100,296821.125,10058.6064453125,31111.314453125,7,5300,14.6636920863557,0.0196973118872405,7.30780697544715,0.0164880231405713,1652065.54166667,"up"
363.28901163737,6.44715,59821.3125,55655.12890625,100,97858.515625,76971.6328125,55490.6484375,341710.625,434572.375,635188.6875,103995.65625,29415.337890625,26831.98828125,51445.60546875,22452.361328125,26218.783203125,48289.54296875,76825.015625,60960.796875,9,5314,7.58548429986499,0.0410373867019245,12.2124515197582,0.0327965420780406,470490.5625,"up"
364.019561767578,0.45506,68134.265625,10754.3720703125,11395.7138671875,122253.9921875,27468.41015625,17031.3203125,185014.421875,179315.1875,140708.890625,32933.10546875,100,100,100,100,100,29321.552734375,100,100,7,5329,17.1074504293242,0.00122508964380075,5.59386528517496,0.00552151633115732,168346.166666667,"up"
364.292510986328,6.43045,100,33668.66796875,100,100,100,100,71275.4296875,84453.0390625,116371.0703125,100,100,100,100,100,100,100,100,100,9,5340,906.998463541667,0.0211443218847807,8.0339604531705,0.0111853027271517,90699.8463541667,"up"
375.290954589844,4.69773333333333,100,100,100,100,100,100,743558.4375,789725.5625,687264.8125,100,100,100,100,100,100,100,100,100,8,5661,7401.829375,0.00159860960350663,7401.829375,0.00159860960350663,740182.9375,"up"
375.29209391276,4.69098333333333,100,100,100,100,100,100,943065.0625,789725.5625,1211932.25,100,100,100,100,100,100,100,100,100,9,5662,9815.74291666667,0.0154406878145656,9815.74291666667,0.0154406878145656,981574.291666667,"up"
376.295389811198,4.69098333333333,100,100,100,100,100,100,250309.8125,199138.3125,363055.625,100,100,24689.078125,100,100,100,100,100,100,9,5691,2708.34583333333,0.0305276526083516,2708.34583333333,0.0305276526083516,270834.583333333,"up"
376.294270833333,4.7019,100,100,100,100,100,100,230712.890625,199138.3125,199799.6875,100,100,100,100,100,100,100,100,100,7,5692,2098.83630208333,0.00245633720171232,2098.83630208333,0.00245633720171232,209883.630208333,"up"
376.295389811198,4.69098333333333,100,100,100,100,100,100,250309.8125,199138.3125,363055.625,100,100,100,100,100,100,100,100,100,9,5693,2708.34583333333,0.0305276526083516,2708.34583333333,0.0305276526083516,270834.583333333,"up"
377.237477620443,6.2353,100,100,39557.7109375,100,100,100,223994.4375,298392.53125,478583.75,100,100,100,100,100,100,100,100,100,9,5745,3336.5690625,0.0476975962363494,25.176769364905,0.0476835405939203,333656.90625,"up"
378.993347167969,0.45506,23815.53515625,23452.087890625,100,71694.421875,30992.779296875,16057.5625,273717.6875,228033.609375,153072.84375,13874.1162109375,100,100,8789.5576171875,20996.548828125,11364.7724609375,6328.67138671875,21898.400390625,100,7,5805,23.1165489243662,0.0240727445447341,13.824298085994,0.0243323990170659,218274.713541667,"up"
391.264088948568,5.71745,100,100,100,168059.96875,146640.21875,56890.78125,271285.84375,331862.625,543305.1875,100,100,100,100,100,100,100,100,100,9,6219,3821.5121875,0.0435560140053233,3821.5121875,0.0435560140053233,382151.21875,"up"
395.261627197266,7.42585,100,85530.4140625,100,61134.00390625,108113.3671875,63913.578125,330556.5,400308.84375,395462.1875,100,100,50285.5234375,100,100,33546.49609375,42878.75390625,38200.7578125,71518.234375,8,6352,7.38102337735728,0.00130410342654106,13.1380157621643,0.000859140115166206,375442.510416667,"up"
398.54541015625,0.505203333333333,130901.359375,47365.51171875,15131.052734375,86588.8203125,55618.203125,57805.15625,317602.9375,341763.3125,341075.59375,29220.650390625,100,10072.3330078125,6443.8994140625,100,28179.115234375,9186.125,15246.134765625,34672.79296875,8,6442,16.9265028532519,9.2486080274232e-06,5.17297096032481,0.0126315638061764,333480.614583333,"up"
406.199045817057,0.557123333333333,10616.7412109375,14902.962890625,100,12584.0771484375,15258.623046875,14314.220703125,81419.0859375,92878.5546875,104686.4140625,23461.388671875,17537.443359375,9669.3173828125,100,4342.43701171875,100,8432.880859375,6907.18603515625,15804.310546875,9,6703,8.95776630026942,0.00252411562805171,10.8894331324648,0.000968243985401739,92994.6848958333,"up"
409.246368408203,4.60798333333333,100,100,55765.859375,100,100,100,117607.8125,115639,181785.796875,100,100,100,100,100,100,100,100,100,9,6799,1383.44203125,0.023824044405004,7.41581767902586,0.0145368521316102,138344.203125,"up"
409.246368408203,4.60798333333333,100,100,55765.859375,100,100,100,117607.8125,115639,181785.796875,100,100,100,100,100,100,100,100,100,9,6800,1383.44203125,0.023824044405004,7.41581767902586,0.0145368521316102,138344.203125,"up"
417.904103597005,5.18955,100,100,18130.73828125,100,100,100,178081.34375,117734.4453125,83975.3671875,48088.62890625,42426.40625,45544.05078125,100,49688.703125,100,100,100,39750.2890625,7,7077,9.50659344806837,0.0365621011264406,20.7188139628003,0.0429566997810203,126597.052083333,"up"
421.075764973958,0.505203333333333,16365.72265625,18881.927734375,11182.2880859375,88567.078125,52329.8515625,30348.162109375,87500.625,104716.0625,102380.796875,100,4014.4150390625,6381.64013671875,6222.33984375,100,7217.19921875,7867.27294921875,5236.720703125,12010.1162109375,8,7173,11.7303573958528,0.00139929432174431,6.34498976395824,0.00134233439121906,98199.1614583333,"up"
421.831309000651,4.79791666666667,100,100,60558.00390625,100,100,32349.923828125,107404.5390625,179967.78125,162701.90625,100,100,100,100,100,107532.4921875,100,100,100,8,7191,1500.247421875,0.0206508531561888,7.40765327407674,0.0122240283075143,150024.7421875,"up"
424.83257039388,4.39028333333333,100,100,101207.4375,100,100,100,145327.28125,160637.546875,211261.375,100,100,100,100,100,100,100,100,100,9,7285,1724.08734375,0.0131062882389866,5.10047601907898,0.0337993118991079,172408.734375,"up"
425.163930257161,5.01333333333333,100,100,100,100,100,100,101729.2578125,183076.421875,97389.6328125,100,100,100,100,100,100,100,100,100,8,7309,1273.984375,0.044731543835277,1273.984375,0.044731543835277,127398.4375,"up"
430.41264851888,5.17246666666667,100,33551.33984375,100,37272.1328125,47614.0078125,100,255298.703125,151056.359375,120864.5390625,100,100,27620.14453125,100,100,100,100,100,27312.671875,7,7452,19.1627917476663,0.0489914701380754,15.6207014003958,0.0477459371791585,175739.8671875,"up"
434.897908528646,4.83105,100,100,100,100,100,100,173923.125,245344.265625,122350.984375,100,100,100,100,100,100,100,100,100,8,7619,1805.39458333333,0.0369061461886331,1805.39458333333,0.0369061461886331,180539.458333333,"up"
437.062520345052,0.438658333333333,7198.177734375,11983.279296875,100,48252.5625,56990.34765625,25393.28125,93560.921875,85953.828125,159205.96875,100,100,100,100,100,100,100,100,20290.19140625,9,7688,16.5308713830112,0.0363115042133699,17.567174420534,0.0419097483574104,112906.90625,"up"
439.84233601888,4.40721666666667,66674.5546875,29055.623046875,100,40098.25390625,80490.84375,53306.359375,227932.421875,251099.953125,299823.03125,100,43765.65625,40894.515625,100,100,39853.1015625,100,44155.09765625,49264.3828125,9,7758,8.32826917286242,0.00140320340295596,8.12745446855849,0.00140717645212491,259618.46875,"up"
446.905507405599,5.18955,47414.46875,45069.4375,100,90700.2734375,55339.09765625,100,476729.34375,395063.65625,242476.734375,140876.25,85682.578125,47154.32421875,57962.84765625,103115.1015625,89970.84375,84848.2421875,84510.359375,100,7,7977,6.57546872274898,0.0304287975458411,12.0352421874077,0.0330829962608942,371423.244791667,"up"
447.223826090495,6.6788,100,100,37588.66015625,100,100,100,79136.7421875,106187.5625,100612.09375,89947.9140625,100,100,100,50715.63671875,100,100,100,100,8,7991,953.121328125,0.00741787166390338,7.56672497133265,0.00790808905219967,95312.1328125,"up"
449.330586751302,6.60908333333333,100,100,100,100,100,100,395381.3125,438220,712258.375,54508.4453125,100,100,100,100,100,100,100,65587.4375,9,8070,23.49779450674,0.0331294917760128,5152.865625,0.0351736359332434,515286.5625,"up"
455.353668212891,5.67006666666667,100,100,100,286055,217990.5625,97289.3359375,1431406.75,1202884.875,2371457.5,100,100,100,100,100,981060.1875,100,100,100,9,8250,16685.8304166667,0.04298939708445,16685.8304166667,0.04298939708445,1668583.04166667,"up"
455.353668212891,5.67006666666667,100,100,100,286055,217990.5625,97289.3359375,1431406.75,1202884.875,2371457.5,100,100,100,100,100,981060.1875,100,100,100,9,8251,16685.8304166667,0.04298939708445,16685.8304166667,0.04298939708445,1668583.04166667,"up"
456.357025146484,5.67006666666667,100,100,35031.10546875,70064.7421875,78741.78125,71701.0390625,429079.4375,382555.9375,744767.125,100,58033.0703125,100,100,100,314690.53125,100,100,100,9,8268,5188.00833333333,0.0448999372761186,44.1769419180028,0.0455340052980914,518800.833333333,"up"
458.978424072266,6.52523333333333,100,100,100,100,100,211245.859375,129198.890625,115618.7734375,77526.0234375,100,100,100,100,100,100,100,30756.021484375,100,6,8342,10.4129559304868,0.00933132189727686,1074.47895833333,0.020132552938929,107447.895833333,"up"
464.802001953125,5.13975,100,100,100,100,100,100,113442.7578125,89878.7421875,94963.3828125,100,100,100,100,100,100,100,100,100,7,8474,994.282942708333,0.00515499700629973,994.282942708333,0.00515499700629973,99428.2942708333,"up"
499.645345052083,5.22896666666667,100,100,100,100,100,100,126226.6015625,114865.8515625,206279.15625,100,100,100,100,100,100,100,100,100,9,9364,1491.23869791667,0.0352974577558032,1491.23869791667,0.0352974577558032,149123.869791667,"up"
505.336680094401,6.96576666666667,100,100,100,100,100,100,295348.6875,287860.875,499962.625,100,62712.06640625,100,100,100,100,100,123104.953125,100,9,9506,8.78449859513703,0.0248008903003024,3610.57395833333,0.0351178411008116,361057.395833333,"up"
507.315083821615,5.18071666666667,100,100,19771.443359375,100,45623.3515625,100,109036.8046875,84489.3984375,118253.640625,100,100,100,100,100,100,100,100,100,9,9536,1039.26614583333,0.00928743910878292,15.6112824766691,0.00235729361820412,103926.614583333,"up"
507.315083821615,5.18071666666667,100,100,16196.751953125,100,45623.3515625,100,73734.6328125,84489.3984375,118253.640625,100,100,100,100,100,100,100,100,100,9,9537,921.592239583333,0.0205710375747786,16.8617341205986,0.0134237249687598,92159.2239583333,"up"
527.795247395833,4.79791666666667,100,100,100,100,100,100,74469.453125,132712.265625,79402.296875,100,100,100,100,100,100,100,100,100,8,9961,955.280052083333,0.036124728297899,955.280052083333,0.036124728297899,95528.0052083333,"up"
